trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.42, 'e': 0.810157377815473}",30,0,-162.14795063568386,"{0: 18, 1: 0, 2: 10, 3: 0, 4: 2}",0
44,False,"{'a': 0.42, 'e': 0.8061065909263957}",25,0,-138.46623253539934,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
45,False,"{'a': 0.42, 'e': 0.8020760579717637}",20,0,-90.24204902391516,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
46,False,"{'a': 0.42, 'e': 0.7980656776819048}",30,0,-214.5135612673519,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
47,False,"{'a': 0.42, 'e': 0.7940753492934953}",20,0,-138.25469883305158,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
48,False,"{'a': 0.42, 'e': 0.7901049725470278}",25,0,-105.91733008783645,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 2}",0
49,False,"{'a': 0.42, 'e': 0.7861544476842928}",25,13,-7.69120590648277,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.42, 'e': 0.7822236754458712}",25,0,-56.4547779855943,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
51,False,"{'a': 0.42, 'e': 0.7783125570686419}",25,0,-154.30325207892818,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
52,False,"{'a': 0.42, 'e': 0.7744209942832987}",20,0,-129.43881234522942,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
53,False,"{'a': 0.42, 'e': 0.7705488893118821}",20,3,-22.168177767637506,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.42, 'e': 0.7666961448653228}",20,3,-98.35043555271264,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 1}",1
55,False,"{'a': 0.42, 'e': 0.7628626641409961}",25,0,-61.811194193373034,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
56,False,"{'a': 0.42, 'e': 0.7590483508202912}",30,2,-119.84149470488595,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 2}",1
57,False,"{'a': 0.42, 'e': 0.7552531090661897}",30,0,-63.03500584283436,"{0: 23, 1: 4, 2: 1, 3: 1, 4: 1}",0
58,False,"{'a': 0.42, 'e': 0.7514768435208588}",20,0,-125.77498149710657,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
59,False,"{'a': 0.42, 'e': 0.7477194593032545}",25,0,-132.72106176235994,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 1}",0
60,False,"{'a': 0.42, 'e': 0.7439808620067382}",35,0,-64.34456377526092,"{0: 32, 1: 0, 2: 0, 3: 1, 4: 2}",0
61,False,"{'a': 0.42, 'e': 0.7402609576967045}",30,0,-41.22199578525725,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.42, 'e': 0.736559652908221}",25,0,-146.87066422414466,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
63,False,"{'a': 0.42, 'e': 0.7328768546436798}",25,0,-37.57367240180117,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
64,False,"{'a': 0.42, 'e': 0.7292124703704614}",20,0,-52.05913831845603,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
65,False,"{'a': 0.42, 'e': 0.7255664080186092}",30,0,-46.994145777629825,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
